au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.218262,0.218262,0.177168,0.177168,0.514609,0.514609,0.422525,0.442921,0.227012,0.05799,0.197866,0.197866,0.432723,0.046042,0.0681881,0.0681881,24,frame.00024.jpg,0.00155386,0.8563978,0.007068237,3.36E-05,0.000162884,0.00229402,4.11E-05,0.132448524
0.25,0.25,0.4,0.4,1,1,0.9,1,0,0.05,0.15,0.15,0.95,0.05,0.1,0.1,25,frame.00025.jpg,0.004018015,0.963074148,0.011215751,0.000150456,0.001383933,0.002147573,8.43E-05,0.01792578
0.25,0.25,0.4,0.4,1,1,0.9,1,0,0.05,0.15,0.15,0.95,0.05,0.1,0.1,26,frame.00026.jpg,0.004018015,0.963074148,0.011215751,0.000150456,0.001383933,0.002147573,8.43E-05,0.01792578
0.25,0.25,0.4,0.4,1,1,0.9,1,0,0.05,0.15,0.15,0.95,0.05,0.1,0.1,27,frame.00027.jpg,0.004018015,0.963074148,0.011215751,0.000150456,0.001383933,0.002147573,8.43E-05,0.01792578
0.25,0.25,0.4,0.4,1,1,0.9,1,0,0.05,0.15,0.15,0.95,0.05,0.1,0.1,28,frame.00028.jpg,0.004018015,0.963074148,0.011215751,0.000150456,0.001383933,0.002147573,8.43E-05,0.01792578
0.141125,0.141125,0.225801,0.225801,0.564501,0.564501,0.508051,0.564501,0,0.0282251,0.0846752,0.0846752,0.536276,0.0282251,0.0564501,0.0564501,29,frame.00029.jpg,0.002017541,0.8929458,0.013381636,0.000138617,0.000947695,0.05515434,0.000617815,0.034796555
0.57841,0.57841,0.800875,0.800875,0.667396,0.667396,0.0889862,0,0.133479,0.133479,0.845369,0.845369,0.0444931,0.222465,0,0,30,frame.00030.jpg,0.022702457,0.7007175,0.021402434,0.001023068,0.002990836,0.127374515,0.012496662,0.111292504
0.65,0.65,0.9,0.9,0.75,0.75,0.1,0,0.15,0.15,0.95,0.95,0.05,0.25,0,0,31,frame.00031.jpg,0.009657305,0.5247342,0.018305488,0.001000223,0.00213937,0.30447498,0.014331412,0.125357032
0.65,0.65,0.9,0.9,0.75,0.75,0.1,0,0.15,0.15,0.95,0.95,0.05,0.25,0,0,32,frame.00032.jpg,0.009657305,0.5247342,0.018305488,0.001000223,0.00213937,0.30447498,0.014331412,0.125357032
0.65,0.65,0.9,0.9,0.75,0.75,0.1,0,0.15,0.15,0.95,0.95,0.05,0.25,0,0,33,frame.00033.jpg,0.009657305,0.5247342,0.018305488,0.001000223,0.00213937,0.30447498,0.014331412,0.125357032
0.256965,0.256965,0.408559,0.408559,0.418682,0.418682,0.703212,0.721994,0.134276,0.0620765,0.16452,0.16452,0.0447586,0.368192,0.0721994,0.0721994,34,frame.00034.jpg,0.002160744,0.9362983,0.008092715,0.000143689,0.000730214,0.003958582,8.19E-05,0.04853384
0.2,0.2,0.35,0.35,0.4,0.4,0.95,1,0.15,0.05,0,0,0.05,0.45,0.1,0.1,35,frame.00035.jpg,0.003493407,0.894832551,0.017095849,0.000332636,0.001304317,0.002457743,9.67E-05,0.08038676
0.2,0.2,0.35,0.35,0.4,0.4,0.95,1,0.15,0.05,0,0,0.05,0.45,0.1,0.1,36,frame.00036.jpg,0.003493407,0.894832551,0.017095849,0.000332636,0.001304317,0.002457743,9.67E-05,0.08038676
0.2,0.2,0.35,0.35,0.4,0.4,0.95,1,0.15,0.05,0,0,0.05,0.45,0.1,0.1,37,frame.00037.jpg,0.003493407,0.894832551,0.017095849,0.000332636,0.001304317,0.002457743,9.67E-05,0.08038676
0.16519,0.16519,0.423874,0.423874,0.388444,0.388444,0.770137,0.942079,0.266979,0.0475187,0.141013,0.141013,0.0392238,0.460848,0.103332,0.103332,38,frame.00038.jpg,0.002384993,0.872232854,0.018806785,0.000391378,0.001455727,0.009360235,0.000153151,0.095214896
0.0525316,0.0525316,0.793207,0.793207,0.407151,0.407151,0.174003,0.866835,0.783831,0.0454995,0.733643,0.733643,0.00234402,0.582117,0.134154,0.134154,39,frame.00039.jpg,0.001036181,0.8217324,0.014960128,0.00021316,0.000460441,0.001407019,1.42E-05,0.160176486
0.05,0.05,0.9,0.9,0.45,0.45,0.15,0.95,0.9,0.05,0.85,0.85,0,0.65,0.15,0.15,40,frame.00040.jpg,0.000878087,0.7383499,0.015827853,0.000247574,0.000420365,0.002867518,1.57E-05,0.241393015
0.05,0.05,0.9,0.9,0.45,0.45,0.15,0.95,0.9,0.05,0.85,0.85,0,0.65,0.15,0.15,41,frame.00041.jpg,0.000878087,0.7383499,0.015827853,0.000247574,0.000420365,0.002867518,1.57E-05,0.241393015
0.05,0.05,0.9,0.9,0.45,0.45,0.15,0.95,0.9,0.05,0.85,0.85,0,0.65,0.15,0.15,42,frame.00042.jpg,0.000878087,0.7383499,0.015827853,0.000247574,0.000420365,0.002867518,1.57E-05,0.241393015
0.0297317,0.0297317,0.53517,0.53517,0.267585,0.267585,0.089195,0.564902,0.53517,0.0297317,0.505438,0.505438,0,0.386512,0.089195,0.089195,43,frame.00043.jpg,0.000875777,0.860256851,0.01193952,0.000105412,0.000410794,0.00072704,7.89E-06,0.1256767
0.194622,0.194622,0.0973109,0.0973109,0.778487,0.778487,0.0973109,0.0486554,0.0973109,0.0486554,0.194622,0.194622,0.875798,0.145966,0,0,44,frame.00044.jpg,0.003434089,0.8728804,0.01210748,0.000331363,0.001786908,0.07805411,0.001829788,0.029575834
0.2,0.2,0.1,0.1,0.8,0.8,0.1,0.05,0.1,0.05,0.2,0.2,0.9,0.15,0,0,45,frame.00045.jpg,0.004077304,0.8722034,0.01529891,0.000392004,0.002370662,0.073225744,0.002079165,0.030352803
0.2,0.2,0.1,0.1,0.8,0.8,0.1,0.05,0.1,0.05,0.2,0.2,0.9,0.15,0,0,46,frame.00046.jpg,0.004077304,0.8722034,0.01529891,0.000392004,0.002370662,0.073225744,0.002079165,0.030352803
0.18755,0.18755,0.0937749,0.0937749,0.750199,0.750199,0.0937749,0.0468875,0.0937749,0.0468875,0.18755,0.18755,0.843974,0.140662,0,0,47,frame.00047.jpg,0.003981676,0.7959956,0.014455383,0.000404704,0.001824155,0.148129016,0.003018963,0.03219051
