au_1_left, au_1_right, au_2_left, au_2_right, au_4_left, au_4_right, au_5, au_6, au_7, au_10, au_12_left, au_12_right, au_25, au_26, au_45_left, au_45_rightframe,,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.388131,0.388131,0.531078,0.531078,0.85,0.85,0.414966,0.635034,0.0807913,0.407339,0.376835,0.376835,0.426548,0.638704,0.0576261,0.0576261,30,frame.00030.jpg,0.013129495,0.910748541,0.015058165,0.001210289,0.004792036,0.011759823,0.000732709,0.042568944
0.743612,0.743612,0.199295,0.199295,0.85,0.85,0.865242,0.184758,0.0570925,0.78652,0.47163,0.47163,0.829427,0.378018,0.128722,0.128722,31,frame.00031.jpg,0.274490744,0.6287825,0.021865377,0.003600313,0.00531827,0.034641795,0.022687445,0.008613523
0.85,0.85,0.1,0.1,0.85,0.85,1,0.05,0.05,0.9,0.5,0.5,0.95,0.3,0.15,0.15,32,frame.00032.jpg,0.242503032,0.716278255,0.011766858,0.001335208,0.001854218,0.010666033,0.007271092,0.008325281
0.85,0.85,0.1,0.1,0.85,0.85,1,0.05,0.05,0.9,0.5,0.5,0.95,0.3,0.15,0.15,33,frame.00033.jpg,0.242503032,0.716278255,0.011766858,0.001335208,0.001854218,0.010666033,0.007271092,0.008325281
0.85,0.85,0.1,0.1,0.85,0.85,1,0.05,0.05,0.9,0.5,0.5,0.95,0.3,0.15,0.15,34,frame.00034.jpg,0.242503032,0.716278255,0.011766858,0.001335208,0.001854218,0.010666033,0.007271092,0.008325281
0.85,0.85,0.1,0.1,0.85,0.85,1,0.05,0.05,0.9,0.5,0.5,0.95,0.3,0.15,0.15,35,frame.00035.jpg,0.242503032,0.716278255,0.011766858,0.001335208,0.001854218,0.010666033,0.007271092,0.008325281
0.85,0.85,0.1,0.1,0.85,0.85,1,0.05,0.05,0.9,0.5,0.5,0.95,0.3,0.15,0.15,36,frame.00036.jpg,0.242503032,0.716278255,0.011766858,0.001335208,0.001854218,0.010666033,0.007271092,0.008325281
0.836368,0.836368,0.0983963,0.0983963,0.836368,0.836368,0.983963,0.0491981,0.0491981,0.885566,0.491981,0.491981,0.934765,0.295189,0.147594,0.147594,37,frame.00037.jpg,0.175242424,0.7931098,0.010136601,0.000564442,0.001173879,0.007913124,0.003444594,0.008415174
0.4,0.4,0.25,0.25,0.35,0.35,0.85,0,0.9,0,0.05,0.05,0.1,0.95,0.95,0.95,38,frame.00038.jpg,0.007240852,0.820403,0.014792003,0.000612104,0.000860801,0.001448666,7.70E-05,0.154565588
0.4,0.4,0.25,0.25,0.35,0.35,0.85,0,0.9,0,0.05,0.05,0.1,0.95,0.95,0.95,39,frame.00039.jpg,0.007240852,0.820403,0.014792003,0.000612104,0.000860801,0.001448666,7.70E-05,0.154565588
