au_1_left,au_1_right,au_2_left,au_2_right,au_4_left,au_4_right,au_5,au_6,au_7,au_10,au_12_left,au_12_right,au_25,au_26,au_45_left,au_45_right,frame,name, sadness, neutral, contempt, disgust, anger, surprise, fear, happiness
0.2,0.85,0.3,0.15,0.7,0.25,0,0.7,0.25,0.05,0.8,0.75,0.4,0.6,0.4,0.6,26,frame.00026.jpg,0.026459733,0.8101413,0.016047018,0.001050146,0.001424532,0.003000802,0.000287332,0.14158912
0.2,0.85,0.3,0.15,0.7,0.25,0,0.7,0.25,0.05,0.8,0.75,0.4,0.6,0.4,0.6,27,frame.00027.jpg,0.026459733,0.8101413,0.016047018,0.001050146,0.001424532,0.003000802,0.000287332,0.14158912
0.2,0.85,0.3,0.15,0.7,0.25,0,0.7,0.25,0.05,0.8,0.75,0.4,0.6,0.4,0.6,28,frame.00028.jpg,0.026459733,0.8101413,0.016047018,0.001050146,0.001424532,0.003000802,0.000287332,0.14158912
0.196462,0.791549,0.287023,0.144125,0.655401,0.23714,0,0.656015,0.241436,0.056019,0.746576,0.693011,0.369606,0.554409,0.373288,0.561159,29,frame.00029.jpg,0.015347347,0.761983335,0.018212846,0.000492018,0.00059626,0.001753743,0.000118185,0.201496243
0.887286,0.467936,0.747355,0.420364,0.65449,0.467176,0,0.701176,0.793978,0.747039,0.561245,0.0009501,0.00050672,0.00076008,0.280622,0.514306,30,frame.00030.jpg,0.013288047,0.9223667,0.019893197,9.15E-05,0.000305031,0.000145873,1.07E-05,0.043898907
0.95,0.5,0.8,0.45,0.7,0.5,0,0.75,0.85,0.8,0.6,0,0,0,0.3,0.55,31,frame.00031.jpg,0.024452949,0.9176523,0.03361752,0.000212316,0.000689271,0.000133256,1.58E-05,0.02322658
0.95,0.5,0.8,0.45,0.7,0.5,0,0.75,0.85,0.8,0.6,0,0,0,0.3,0.55,32,frame.00032.jpg,0.024452949,0.9176523,0.03361752,0.000212316,0.000689271,0.000133256,1.58E-05,0.02322658
0.95,0.5,0.8,0.45,0.7,0.5,0,0.75,0.85,0.8,0.6,0,0,0,0.3,0.55,33,frame.00033.jpg,0.024452949,0.9176523,0.03361752,0.000212316,0.000689271,0.000133256,1.58E-05,0.02322658
0.947427,0.498646,0.797834,0.448781,0.698104,0.498646,0,0.747969,0.847698,0.797834,0.598375,0,0,0,0.299188,0.548511,34,frame.00034.jpg,0.0199985,0.904205561,0.025377289,0.000133748,0.000344153,0.000190915,1.66E-05,0.04973325
0.565209,0.585865,0.535927,0.440477,0.326527,0.368861,0.054251,0.471916,0.599939,0.644429,0.22563,0.434008,0.54251,0.0271255,0.601074,0.541375,35,frame.00035.jpg,0.013560386,0.9158902,0.01426258,8.37E-05,0.000183847,0.000143783,1.14E-05,0.055864014
